iter	Accuracy	Logloss
0	0.8176645658	0.6298311887
1	0.8230917367	0.5753098887
2	0.8350402661	0.5330072517
3	0.8299194678	0.5056373092
4	0.8307072829	0.4793912058
5	0.825192577	0.4583492291
6	0.8297006303	0.4421233366
7	0.8371411064	0.4294175237
8	0.8346901261	0.4189779023
9	0.8400297619	0.412598014
10	0.8409488796	0.4049442154
11	0.8411677171	0.3983029826
12	0.8412990196	0.3931278007
13	0.840817577	0.3887213691
14	0.84357493	0.384188858
15	0.8448441877	0.3805596896
16	0.8463322829	0.3769799045
17	0.8487394958	0.3736836852
18	0.8493084734	0.3712002341
19	0.8505339636	0.3686864033
20	0.8511029412	0.3663106954
21	0.8521971289	0.3639491539
22	0.8519345238	0.3616059681
23	0.853072479	0.3585469923
24	0.8542542017	0.356422635
25	0.8544730392	0.3543682326
26	0.8552170868	0.3527485029
27	0.8550857843	0.351041894
28	0.8559611345	0.3492910526
29	0.8567927171	0.3478369327
30	0.8567927171	0.3466523756
31	0.8565738796	0.3452283724
32	0.8568802521	0.3441418965
33	0.8571866246	0.3429215191
34	0.856530112	0.3419309898
35	0.8572303922	0.3408122394
36	0.8579744398	0.3398728436
37	0.8583683473	0.3382236862
38	0.8590248599	0.3373475551
39	0.8588060224	0.3364966248
40	0.8584121148	0.3356871368
41	0.8588060224	0.3349166869
42	0.859287465	0.3333712502
43	0.8599877451	0.3327845417
44	0.8606004902	0.3314817371
45	0.8606880252	0.3310063548
46	0.8609943978	0.330517797
47	0.8611257003	0.329950057
48	0.8614758403	0.3294181615
49	0.8620885854	0.3289813736
50	0.8614758403	0.3284328592
51	0.8617384454	0.327984345
52	0.8616946779	0.3275930495
53	0.8617384454	0.3272022031
54	0.8616946779	0.3262164837
55	0.8621323529	0.3253899101
56	0.8621761204	0.3250775975
57	0.8630514706	0.3246462991
58	0.8638830532	0.3242662654
59	0.8634453782	0.3239615892
60	0.8634891457	0.3236482634
61	0.8638392857	0.3229631783
62	0.8643207283	0.3222533781
63	0.8642331933	0.3220199352
64	0.8637955182	0.3217289695
65	0.8641894258	0.3206941898
66	0.8640143557	0.3203443159
67	0.8644957983	0.3200885907
68	0.8646708683	0.3197410822
69	0.8641018908	0.3195006157
70	0.8642331933	0.3192561475
71	0.8644957983	0.319017663
72	0.8645395658	0.3187812837
73	0.8648459384	0.3178882803
74	0.8649772409	0.3176378329
75	0.8651523109	0.3166577121
76	0.8653711485	0.3164416259
77	0.8657212885	0.3162753555
