iter	Passed	Remaining
0	11	2292
1	27	2704
2	44	2938
3	63	3131
4	79	3098
5	103	3341
6	121	3353
7	145	3497
8	162	3448
9	197	3744
10	213	3661
11	228	3576
12	239	3439
13	252	3350
14	263	3252
15	276	3178
16	291	3139
17	309	3125
18	327	3120
19	346	3119
20	363	3101
21	378	3061
22	391	3015
23	413	3030
24	432	3028
25	445	2980
26	467	2995
27	482	2963
28	499	2944
29	511	2896
30	522	2850
31	533	2801
32	544	2756
33	559	2733
34	622	2935
35	634	2890
36	652	2873
37	661	2818
38	671	2771
39	680	2720
40	691	2682
41	700	2634
42	710	2594
43	719	2552
44	729	2513
45	745	2495
46	754	2457
47	763	2417
48	773	2383
49	782	2348
50	790	2310
51	801	2281
52	810	2248
53	819	2215
54	830	2190
55	839	2158
56	850	2134
57	858	2100
58	868	2074
59	878	2050
60	891	2031
61	903	2011
62	912	1985
63	920	1955
64	930	1931
65	939	1906
66	947	1880
67	958	1859
68	968	1838
69	977	1815
70	988	1795
71	996	1770
72	1004	1747
73	1012	1723
74	1021	1703
75	1029	1679
76	1039	1660
77	1056	1652
78	1064	1629
79	1073	1610
80	1081	1588
81	1090	1568
82	1099	1550
83	1108	1530
84	1118	1512
85	1128	1495
86	1137	1477
87	1145	1458
88	1152	1437
89	1161	1420
90	1170	1402
91	1179	1384
92	1186	1365
93	1196	1349
94	1205	1332
95	1214	1315
96	1221	1297
97	1231	1281
98	1243	1268
99	1254	1254
100	1264	1239
101	1272	1222
102	1281	1206
103	1288	1189
104	1295	1172
105	1305	1157
106	1313	1141
107	1320	1125
108	1329	1109
109	1338	1095
110	1347	1080
111	1356	1065
112	1365	1051
113	1372	1035
114	1380	1020
115	1395	1010
116	1407	998
117	1415	983
118	1423	969
119	1432	955
120	1442	942
121	1452	928
122	1459	913
123	1471	901
124	1484	890
125	1497	879
126	1507	866
127	1516	853
128	1524	839
129	1538	828
130	1551	817
131	1561	804
132	1570	791
133	1577	777
134	1586	763
135	1595	750
136	1605	738
137	1612	724
138	1620	711
139	1627	697
140	1637	685
141	1646	672
142	1656	660
143	1665	647
144	1675	635
145	1682	622
146	1690	609
147	1699	597
148	1707	584
149	1720	573
150	1734	562
151	1747	551
152	1757	539
153	1765	527
154	1775	515
155	1785	503
156	1794	491
157	1804	479
158	1812	467
159	1822	455
160	1834	444
161	1850	434
162	1865	423
163	1880	412
164	1895	402
165	1914	392
166	1934	382
167	1948	371
168	1961	359
169	1977	348
170	1991	337
171	2004	326
172	2018	315
173	2030	303
174	2041	291
175	2054	280
176	2072	269
177	2083	257
178	2092	245
179	2103	233
180	2118	222
181	2129	210
182	2137	198
183	2147	186
184	2161	175
185	2176	163
186	2190	152
187	2199	140
188	2207	128
189	2220	116
190	2286	107
191	2308	96
192	2323	84
193	2339	72
194	2353	60
195	2365	48
196	2388	36
197	2401	24
198	2411	12
199	2443	0
